,date,date_jd,ra,dec,lon,lat,lonR,latR
181,2029-Apr-14 04:35,2462240.690972222,203.64602999999997,-25.87096,61.56735806460499,26.343932103843493,-28.283198129357345,26.345582199309977
182,2029-Apr-14 04:40,2462240.694444444,203.47100999999998,-25.777039999999996,61.76082377399452,26.28417901568551,-29.185500148471817,26.285799722402146
183,2029-Apr-14 04:45,2462240.697916667,203.30007999999998,-25.684960000000004,61.949873675412626,26.225471617209028,-30.092217613884088,26.22706249680532
184,2029-Apr-14 04:50,2462240.701388889,203.13307999999998,-25.59467,62.134674147982494,26.167790229890354,-31.00318351224837,26.169350847776986
185,2029-Apr-14 04:55,2462240.704861111,202.9699,-25.50613,62.31534032257641,26.11111580608894,-31.918282964926107,26.112645730504198
186,2029-Apr-14 05:00,2462240.708333333,202.81038999999998,-25.41928,62.49203140660133,26.055417105502436,-32.83735671891884,26.05691590841139
187,2029-Apr-14 05:05,2462240.711805556,202.65443,-25.33407,62.66487498519278,26.000667187377555,-33.76027744057524,26.00213444436098
188,2029-Apr-14 05:10,2462240.715277778,202.50190999999998,-25.25047,62.83398442202756,25.946856878769783,-34.6869311381102,25.948292170306097
189,2029-Apr-14 05:15,2462240.71875,202.35270999999997,-25.168429999999997,62.99948760143824,25.89395928396612,-35.6171901793162,25.895362195055704
190,2029-Apr-14 05:20,2462240.722222222,202.20673,-25.087899999999998,63.1614928330727,25.841943846323495,-36.55094621454481,25.843313966118135
191,2029-Apr-14 05:25,2462240.725694444,202.06386999999998,-25.008839999999996,63.32010627986168,25.790789816224628,-37.48809304175768,25.79212673905745
192,2029-Apr-14 05:30,2462240.729166667,201.92402,-24.93123,63.47543957305604,25.74049788123545,-38.428519285344635,25.741801208574817
193,2029-Apr-14 05:35,2462240.732638889,201.7871,-24.855010000000007,63.627583887284956,25.691024053795015,-39.37213314477776,25.692293391125354
